,subj,trialtime,trial,seq,seq_item,active_item,prev_active,next_active,firstappear,time_till_target,location1X,location1Y,location2X,location2Y,location3X,location3Y,item1id,item2id,item3id,date,event_time,looks_blank_ms,looks_offscreen_ms,looks_target_ms,looks1_ms,looks2_ms,looks3_ms
0,101,0.0056478000000000006,66,44,1,1,-1,2,1,387.12,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1507.2,1280.04,0.0,226.65999999999997,226.65999999999997,0.0,0.0
1,101,1.5390000000000001,66,44,2,2,1,1,1,466.65,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.7,996.7,120.5,214.29999999999973,173.10000000000014,214.29999999999973,14.200000000000045
2,101,3.0580000000000003,66,44,3,1,2,1,0,400.42,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.9,1466.4999999999995,0.0,13.5,13.5,0.0,39.20000000000027
3,101,4.5769,66,44,4,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.0,826.6000000000013,533.8999999999987,0.0,0.0,146.10000000000036,13.399999999999636
4,101,6.0968,66,44,5,1,1,1,0,1092.9,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.6,362.4999999999991,918.7000000000007,25.600000000000364,25.600000000000364,212.69999999999982,0.0
5,101,7.6168,66,44,6,1,1,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.5,1505.6000000000013,13.299999999999272,0.0,0.0,0.0,0.0
6,101,9.136000000000001,66,44,7,2,1,1,0,39.845,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.5,865.3999999999996,640.8999999999996,13.600000000000364,0.0,13.600000000000364,0.0
7,101,10.655,66,44,8,1,2,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1480.7,1361.0,132.0,0.0,0.0,0.0,13.0
8,101,12.161,66,44,9,2,1,2,0,399.93,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.3,1400.0,0.0,106.0,13.0,106.0,0.0
9,101,13.68,66,44,10,2,2,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1480.0,1480.0,0.0,0.0,12.0,0.0,14.0
10,101,15.187000000000001,66,44,11,1,2,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.8,679.0,361.0,0.0,0.0,480.0,0.0
11,101,16.706,66,44,12,2,1,1,0,0.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.5,1172.0,0.0,347.0,0.0,347.0,0.0
12,101,18.225,66,44,13,1,2,1,0,519.85,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.2,1042.0,52.0,12.0,12.0,413.0,0.0
13,101,19.745,66,44,14,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.2,239.0,1067.0,0.0,0.0,214.0,0.0
14,101,21.265,66,44,15,1,1,2,0,173.56,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.6,1198.0,0.0,147.0,147.0,14.0,160.0
15,101,22.784000000000002,66,44,16,2,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.9,1240.0,0.0,0.0,266.0,0.0,14.0
16,101,24.304000000000002,66,44,17,1,2,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.5,1519.0,0.0,0.0,0.0,0.0,0.0
17,101,25.822,66,44,18,2,1,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.0,1401.0,0.0,0.0,12.0,0.0,107.0
18,101,27.343000000000004,66,44,19,2,2,1,0,1065.7,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.5,1053.0,106.0,333.0,14.0,333.0,13.0
19,101,28.862,66,44,20,1,2,2,0,652.69,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.9,1440.0,0.0,52.0,52.0,14.0,13.0
20,101,30.381,66,44,21,2,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.5,868.0,652.0,0.0,0.0,0.0,0.0
21,101,31.9,66,44,22,1,2,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.7,1280.0,0.0,0.0,0.0,240.0,0.0
22,101,33.419000000000004,66,44,23,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.3,853.0,345.0,0.0,0.0,240.0,81.0
23,101,34.94,66,44,24,1,1,1,0,559.9,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.6,1306.0,133.0,67.0,67.0,0.0,13.0
24,101,36.458,66,44,25,1,1,1,0,0.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.0,1227.0,0.0,52.0,52.0,0.0,240.0
25,101,37.978,66,44,26,1,1,3,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.0,1521.0,0.0,0.0,0.0,0.0,0.0
26,101,39.498000000000005,66,44,27,3,1,2,1,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.5,599.0,720.0,0.0,0.0,200.0,0.0
27,101,41.016999999999996,66,44,28,2,3,1,0,0.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1480.0,1066.0,174.0,266.0,0.0,266.0,0.0
28,101,42.523,66,44,29,1,2,2,0,600.72,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1480.8,454.0,826.0,214.0,214.0,0.0,12.0
29,101,44.028999999999996,66,44,30,2,1,2,0,453.87,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.8,188.0,1305.0,26.0,0.0,26.0,0.0
30,101,45.549,66,44,31,2,2,1,0,80.006,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.1,721.0,561.0,13.0,0.0,13.0,225.0
31,101,47.068000000000005,66,44,32,1,2,2,0,733.41,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.2,1266.0,120.0,133.0,133.0,0.0,0.0
32,101,48.586999999999996,66,44,33,2,1,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.4,1493.0,26.0,0.0,0.0,0.0,0.0
33,101,50.107,66,44,34,2,2,1,0,386.67,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1480.0,894.0,0.0,613.0,0.0,613.0,0.0
34,101,51.613,66,44,35,1,2,1,0,200.21,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.6,1187.0,174.0,146.0,146.0,0.0,12.0
35,101,53.132,66,44,36,1,1,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.8,880.0,639.0,0.0,0.0,0.0,0.0
36,101,54.652,66,44,37,2,1,1,0,13.292,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.0,467.0,386.0,667.0,0.0,667.0,0.0
37,101,56.17100000000001,66,44,38,1,2,1,0,80.056,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.4,1374.0,105.0,26.0,26.0,0.0,14.0
38,101,57.691,66,44,39,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1479.7,467.0,1040.0,0.0,0.0,0.0,0.0
39,101,59.196000000000005,66,44,40,1,1,1,0,160.72,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.7,347.0,1132.0,14.0,14.0,26.0,0.0
40,101,60.716,66,44,41,1,1,1,0,572.83,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.3,1294.0,214.0,12.0,12.0,0.0,0.0
41,101,62.235,66,44,42,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.3,1039.0,133.0,0.0,0.0,332.0,14.0
42,101,63.755,66,44,43,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1479.9,1026.0,481.0,0.0,0.0,0.0,0.0
43,101,65.26100000000001,66,44,44,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.4,1014.0,493.0,0.0,0.0,0.0,12.0
44,101,66.78,66,44,45,1,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.3,880.0,600.0,0.0,0.0,39.0,0.0
45,101,68.29899999999999,66,44,46,1,1,2,0,1426.2,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.4,281.0,547.0,53.0,53.0,424.0,215.0
46,101,69.819,66,44,47,2,1,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.0,1174.0,280.0,0.0,0.0,0.0,66.0
47,101,71.339,66,44,48,1,2,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.2,1439.0,80.0,0.0,0.0,0.0,0.0
48,101,72.858,66,44,49,1,1,1,0,213.69,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.3,266.0,906.0,14.0,14.0,333.0,0.0
49,101,74.378,66,44,50,1,1,2,0,266.76,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.8,1227.0,13.0,38.0,38.0,0.0,242.0
50,101,75.89699999999999,66,44,51,2,1,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1492.9,1294.0,199.0,0.0,13.0,0.0,13.0
51,101,77.416,66,44,52,2,2,3,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1480.3,1373.0,119.0,0.0,14.0,0.0,0.0
52,101,78.922,66,44,53,3,2,1,0,733.56,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.5,1439.0,0.0,80.0,0.0,0.0,80.0
53,101,80.441,66,44,54,1,3,1,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1493.6,1133.0,120.0,0.0,0.0,267.0,0.0
54,101,81.961,66,44,55,1,1,1,0,1400.3,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.1,53.0,1346.0,107.0,107.0,0.0,14.0
55,101,83.48100000000001,66,44,56,1,1,1,0,0.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1480.2,838.0,175.0,479.0,479.0,14.0,0.0
56,101,84.986,66,44,57,1,1,2,0,-1.0,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.1,573.0,453.0,0.0,0.0,493.0,0.0
57,101,86.506,66,44,58,2,1,1,0,453.52,777.67,388.08,114.58,321.24,622.61,448.62,22,14,35,130120.0,1494.1,1215.0,0.0,305.0,0.0,305.0,0.0
