subj,trialtime,trial,seq,seq_item,active_item,prev_active,next_active,firstappear,looks_blank,looks_offscreen,time_till_target,looks_target,looks1,looks2,looks3,location1X,location1Y,location2X,location2Y,location3X,location3Y,item1id,item2id,item3id,date,event_time,eyeposX,eyeposY,timestamps
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.6,685.7,0
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.6,685.7,13.532
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.6,685.7,26.424
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.6,685.7,39.962
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.6,685.7,52.99
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.6,685.7,66.343
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.6,685.7,79.77
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.7,685.2,93.188
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,52.7,685.2,106.34
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,53.1,697.3,120.14
103,0.0080074,60,78,1,2,-1,1,1,1,0,199.64,0,0,0,0,944.54,320.4,533.28,577.93,117.26,499.35,46,37,12,1.301e+05,1493,53.5,702.5,132.85
