subj,trialtime,trial,seq,seq_item,active_item,prev_active,next_active,firstappear,looks_blank,looks_offscreen,time_till_target,looks_target,looks1,looks2,looks3,location1X,location1Y,location2X,location2Y,location3X,location3Y,item1id,item2id,item3id,date,event_time,eyeposX,eyeposY,timestamps
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,642.5,-17,0
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,643.2,-18.6,12.79
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,643.1,-18.7,26.026
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,643.6,-18.6,39.466
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,644.1,-18.5,52.551
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,644.6,-18.5,66.039
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,644.5,-18.9,79.267
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,644.5,-19.3,92.604
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,644.7,-19.5,105.83
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,644.9,-20.1,119.38
104,0.054362,52,70,1,2,-1,3,1,0,1,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,645.1,-20.5,132.56
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,608.2,22.7,145.89
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,416.3,217.2,159.28
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,266.3,289.7,172.46
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,253.3,288,186.02
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,249.8,289.2,199.42
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,251.9,286.7,212.41
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,251.7,286,226.18
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,251.9,285.2,239.36
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,252.2,284.3,252.13
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,252.3,283.8,265.56
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,252.7,282.4,278.9
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,252.8,281.1,292.27
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,213.8,271.1,305.55
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,158.9,256,318.88
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,160.2,253.3,332.11
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,159.7,250.3,345.54
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,161.7,248.2,358.87
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,161.2,245.9,372.09
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,160.7,244.3,385.53
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,160.5,242.2,398.85
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,159.8,240.2,412.24
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,159.5,237.3,425.51
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,159.2,235.3,438.83
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,158.5,232.9,452.16
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,158.5,230.9,465.49
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,166.4,249.6,478.77
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,180.1,280.3,492.19
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.8,276.1,505.48
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.9,275.4,518.75
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.7,273.5,532.01
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.6,272.1,545.45
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.6,271,558.74
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.3,269.9,572.07
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.1,268.4,585.52
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.1,267.5,598.78
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179,266.9,612.19
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.1,265.3,625.5
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,179.1,265.5,638.83
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,178.9,259.4,705.27
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,178.7,259,718.59
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,1,0,1,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,216.1,268,732.12
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,444.2,362.3,745.46
104,0.054362,52,70,1,2,-1,3,1,1,0,306.22,0,0,0,0,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,677,473.2,758.78
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,0,0,0,1,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,857.4,443.3,772.08
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,0,0,0,1,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,868.2,441.5,785.44
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,0,0,0,1,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,881.6,442.6,798.77
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,0,0,0,1,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,877.6,440.2,812.24
104,0.054362,52,70,1,2,-1,3,1,0,0,306.22,0,0,0,1,326.58,669.95,155.1,380.37,865.94,542.84,24,16,42,1.2122e+05,1470.8,878.4,439.4,825.76
