subj,trialtime,trial,seq,seq_item,active_item,prev_active,next_active,firstappear,looks_blank,looks_offscreen,time_till_target,looks_target,looks1,looks2,looks3,location1X,location1Y,location2X,location2Y,location3X,location3Y,item1id,item2id,item3id,date,event_time,eyeposX,eyeposY,timestamps
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,528.5,92.5,0
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,529,92.5,12.36
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,529.2,92.8,25.652
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,529.5,92.8,38.988
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,529.6,92.7,52.384
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,529.9,92.4,65.655
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,530,92.3,78.86
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,530.1,91.5,92.325
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,530.6,89.6,105.62
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,531.1,87.4,118.79
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,531.4,86.8,132.38
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,469.7,131,145.73
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,273.8,226.8,159.05
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,243.2,235.8,172.33
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,237.6,238.5,185.6
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,240.2,234.8,198.86
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,240.1,233,212.26
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,239.9,231.5,225.58
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,240.4,230.3,238.82
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,240.3,229.1,252.24
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,240.2,227.4,265.57
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,239.7,225,278.64
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,239.9,223.2,291.9
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,239.6,221.4,305.37
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,239.5,219.9,318.57
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,239.8,218.5,331.89
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,238.5,213.1,345.22
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,223.6,178.8,358.54
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224,177.6,371.87
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,223.5,175.2,385.2
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.1,173.8,398.52
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224,172.6,411.83
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.2,170.8,425.13
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.5,169.8,438.5
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.4,167.9,451.84
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.5,165.9,465.06
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.7,164.3,478.44
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.4,162,491.82
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.5,159.8,505.19
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.4,158.2,518.57
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.5,156.7,531.88
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.8,155.1,544.98
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.6,153.6,558.5
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,224.1,152.2,571.8
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,222.6,127.4,585.12
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,221.4,113.9,598.48
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,222,112.9,611.87
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,222.3,111.2,625.19
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,222.4,109.3,638.5
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,222.3,100,705.13
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,1,0,1,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,222.8,98,718.42
104,0.057425,34,76,1,2,-1,1,1,1,0,160.09,0,0,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,375.2,249.2,731.73
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,518.5,466.7,744.93
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,545.7,509.9,758.4
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,549.4,517,771.97
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,549.5,513.2,785.35
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,550.6,513.5,798.74
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,551.9,513.9,812.25
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,552.6,513.5,825.36
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,553.2,513.5,838.77
104,0.057425,34,76,1,2,-1,1,1,0,0,160.09,0,1,0,0,538.27,542.21,230.8,294.09,807.43,556.44,47,34,23,1.2112e+05,1470.9,553.4,512.5,852.03
