subj,trialtime,trial,seq,seq_item,active_item,prev_active,next_active,firstappear,looks_blank,looks_offscreen,time_till_target,looks_target,looks1,looks2,looks3,location1X,location1Y,location2X,location2Y,location3X,location3Y,item1id,item2id,item3id,date,event_time,eyeposX,eyeposY,timestamps
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,493.3,934.9,0
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,493.3,934.9,12.895
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,490.5,931.5,25.898
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,490.6,931.1,39.272
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,490.2,930,52.171
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,490.1,926.4,65.713
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,490,923.6,78.523
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,490.3,922.4,92.179
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,491.1,921.4,106.12
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,491.7,920.3,118.67
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,538,954.2,132.14
101,0.055209,67,45,1,2,-1,2,1,0,1,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,653.5,1032.2,145.48
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,648.6,1010.1,159.08
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,654.4,1017,172.31
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,653.8,1011.2,185.11
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,653.7,1007.9,198.69
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655.1,1004.6,212.02
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,654.8,1000.8,225.05
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655,997.5,238.72
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655.1,993.9,251.95
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655,990.7,265.09
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,654.6,986.6,278.54
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655.6,981.6,292.38
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655.9,978,305.04
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655,973.4,319.19
101,0.055209,67,45,1,2,-1,2,1,1,0,-1,0,0,0,0,411.96,605.43,762.98,634.94,179.85,336.73,25,13,37,1.3012e+05,1471,655.1,970.4,331.73
